,prefix,subject,fwh,mask,stat,mean,std
1220,rs,sub-xp207,16,union,std,0.8413932919502258,0.9283123016357422
1219,rr.rs,sub-1,13,union,std,3.5137557983398438,0.6346455216407776
1218,rs,sub-CTS201,15,union,sig,8.732705535737557,0.7645456486548298
1217,rs,sub-xp201,5,union,std,1.3545621633529663,1.8499023914337158
1216,rs,sub-36,17,union,std,0.4051058292388916,0.2480938732624054
1215,rr.rs,sub-xp207,17,union,mean,453.360107421875,39.04601287841797
1214,rr.rs,sub-adult16,6,union,mean,5593.087890625,1183.8309326171875
1213,rr,sub-adult15,8,union,std,11.072745323181152,10.049160957336426
1212,rr.rs,sub-1,13,union,mean,671.8198852539062,73.40199279785156
1211,rr,sub-xp201,9,union,mean,631.4302978515625,76.62376403808594
1210,rr.rs,sub-CTS210,0,union,std,6.367938995361328,4.734634876251221
1209,rr.rs,sub-adult15,14,union,std,8.324511528015137,5.269382476806641
1208,rs,sub-adult16,16,union,std,6.469436168670654,6.356019496917725
1207,rr,sub-xp207,3,union,std,3.898615598678589,7.8606109619140625
1206,rr.rs,sub-adult16,9,union,mean,5555.849609375,1020.5907592773438
1205,rs,sub-1,3,union,mean,686.542236328125,125.51333618164062
1204,rr.rs,sub-1,2,union,mean,687.0740356445312,135.40354919433594
1203,rr,sub-xp201,6,union,mean,637.4005737304688,87.67224884033203
1202,rr,sub-CTS210,5,union,sig,6.87292597032097,1.672214805431794
1201,rr,sub-adult16,3,union,std,16.7567138671875,22.001371383666992
1200,rs,sub-CTS201,19,union,sig,8.761187525160885,0.6945373199341054
1199,rs,sub-adult16,12,union,std,7.077365398406982,7.258101463317871
1198,rr,sub-xp207,7,union,std,1.6316230297088623,2.9413540363311768
1197,rr.rs,sub-adult15,10,union,std,9.862573623657227,7.176733493804932
1196,rs,sub-xp201,9,union,std,0.7492268085479736,0.7578639984130859
1195,rs,sub-36,2,union,mean,413.97705078125,70.48497009277344
1194,rr,sub-adult16,7,union,std,9.627731323242188,9.743905067443848
1193,rs,sub-xp201,7,union,mean,635.20263671875,83.17069244384766
1192,rr,sub-CTS210,1,union,sig,4.708915957123256,1.5174999682057304
1191,rr.rs,sub-xp201,3,union,mean,643.439208984375,108.36873626708984
1190,rr,sub-36,20,union,std,0.3022840917110443,0.20630872249603271
1189,rr.rs,sub-CTS210,4,union,std,1.4470034837722778,1.5669888257980347
1188,rr.rs,sub-36,8,union,sig,9.045072533648378,1.1793545582818121
1187,rs,sub-xp201,8,union,mean,633.204833984375,79.55311584472656
1186,rr,sub-adult15,13,union,sig,8.452984856047667,0.8380565902356782
1185,rs,sub-1,20,union,std,2.5056228637695312,0.40004733204841614
1184,rr,sub-xp201,1,union,std,4.610987186431885,7.028488636016846
1183,rr,sub-CTS201,6,union,std,0.7267041206359863,1.023964524269104
1182,rr.rs,sub-CTS201,16,union,sig,9.216411008370255,0.9979686238085606
1181,rr.rs,sub-CTS201,3,union,sig,8.361601114067632,1.5333066802527748
1180,rr,sub-1,0,union,std,7.405591011047363,11.583292961120605
1179,rr.rs,sub-adult15,14,union,mean,3814.9755859375,622.4766235351562
1178,rr.rs,sub-CTS201,12,union,sig,9.144025580577132,1.0884877520840297
1177,rr.rs,sub-36,18,union,sig,9.39210825005637,0.8082389901759992
1176,rr.rs,sub-xp207,20,union,sig,8.705509555415894,0.6732238306686061
1175,rr,sub-36,3,union,mean,412.28253173828125,64.34495544433594
1174,rr.rs,sub-1,9,union,std,3.7344884872436523,1.1914259195327759
1173,rr,sub-1,4,union,std,2.561946153640747,3.899144411087036
1172,rr.rs,sub-CTS201,7,union,sig,8.893033811784088,1.2717609804522438
1171,rr,sub-1,18,union,sig,9.371508056656694,0.8558890335075228
1170,rr,sub-adult15,17,union,sig,8.608911377924775,0.7218758026275809
1169,rr.rs,sub-xp201,20,union,std,3.669908046722412,3.188082218170166
1168,rr.rs,sub-CTS210,20,union,sig,8.040774820640314,1.2356123257069072
1167,rr,sub-CTS201,2,union,std,1.410912275314331,2.424758195877075
1166,rs,sub-1,8,union,std,2.817723035812378,1.249603271484375
1165,rr.rs,sub-adult15,0,union,mean,3924.240234375,1329.043701171875
1164,rr,sub-xp201,5,union,std,1.3934965133666992,1.8813083171844482
1163,rs,sub-CTS201,5,union,mean,394.8279113769531,59.54731750488281
1162,rr.rs,sub-1,1,union,std,8.877691268920898,11.231657981872559
1161,rr,sub-CTS210,19,union,mean,112.38932037353516,6.808341979980469
1160,rr.rs,sub-CTS201,8,union,mean,392.5314636230469,50.83549499511719
1159,rr,sub-36,7,union,std,0.6235523223876953,0.7722640037536621
1158,rr.rs,sub-36,10,union,sig,9.164139618217108,1.0779196501339912
1157,rr,sub-xp207,13,union,mean,455.6296081542969,44.071937561035156
1156,rr,sub-adult15,11,union,mean,3831.85693359375,704.8465576171875
1155,rr,sub-CTS210,16,union,std,0.29192858934402466,0.2760470509529114
1154,rs,sub-xp207,3,union,std,4.1699090003967285,9.231527328491211
1153,rr,sub-CTS210,16,union,mean,113.08052825927734,6.738129138946533
1152,rs,sub-1,0,union,std,7.190765380859375,9.643425941467285
1151,rr,sub-1,10,union,sig,8.979997430872421,1.1695397780434569
1150,rs,sub-CTS210,15,union,mean,113.48957061767578,6.830611705780029
1149,rr.rs,sub-CTS201,7,union,mean,393.2112731933594,53.354801177978516
1148,rs,sub-1,4,union,std,3.645785093307495,3.253082036972046
1147,rs,sub-xp207,7,union,std,1.786828875541687,3.625676393508911
1146,rr,sub-xp201,9,union,std,0.7575178146362305,0.8423213958740234
1145,rr,sub-CTS210,12,union,std,0.3672322928905487,0.37036994099617004
1144,rr.rs,sub-36,10,union,mean,401.61431884765625,42.94255065917969
1143,rs,sub-adult16,19,union,mean,5468.51025390625,732.8368530273438
