,prefix,dataset,subject,fwh,mask,stat,mean,std
480,rs,ds001600,sub-1,0,union,std,0.010143283754587173,0.006428801454603672
479,rs,ds000256,sub-CTS210,0,union,std,0.030473701655864716,0.017123017460107803
478,rr,ds001748,sub-adult16,7,union,std,0.0013294701930135489,0.0017419472569599748
477,rs,ds001748,sub-adult16,3,union,mean,0.6295986771583557,0.17306704819202423
476,rs,ds001748,sub-adult15,15,union,sig,7.283192540708579,1.4654697411954947
475,rs,ds000256,sub-CTS201,19,union,sig,6.963483666782617,1.413367870393681
474,rr.rs,ds001600,sub-1,18,union,mean,0.6994988918304443,0.14187757670879364
473,rr,ds002338,sub-xp201,2,union,mean,0.4892382323741913,0.09568128734827042
472,rr.rs,ds001600,sub-1,9,union,std,0.002752502216026187,0.003052652347832918
471,rr.rs,ds001748,sub-adult16,6,union,std,0.0018461054423823953,0.0019558577332645655
470,rr,ds001748,sub-adult16,0,union,mean,0.5693656802177429,0.1558247208595276
469,rr,ds001748,sub-adult15,15,union,std,0.002420112257823348,0.0018157807644456625
468,rs,ds001771,sub-36,14,union,std,0.0038617646787315607,0.002426574705168605
467,rr.rs,ds001771,sub-36,16,union,sig,7.224304700256505,1.3452547259529044
466,rs,ds002338,sub-xp201,2,union,sig,4.075619026419006,0.24740309490496623
465,rr.rs,ds001600,sub-1,14,union,sig,7.311556682231995,1.3847881042089074
464,rr,ds002338,sub-xp207,1,union,mean,0.33687394857406616,0.07569622248411179
463,rs,ds000256,sub-CTS210,2,union,mean,0.5805093050003052,0.09754807502031326
462,rr.rs,ds001771,sub-36,3,union,std,0.002717553870752454,0.003080426249653101
461,rr,ds001771,sub-36,1,union,mean,0.5674561262130737,0.10971816629171371
460,rs,ds002338,sub-xp207,0,union,mean,0.3289583921432495,0.06784303486347198
459,rr.rs,ds001771,sub-36,7,union,std,0.0028251279145479202,0.002183380536735058
458,rr.rs,ds002338,sub-xp201,5,union,mean,0.6272306442260742,0.10921934992074966
457,rr,ds000256,sub-CTS201,8,union,std,0.018760982900857925,0.003925699274986982
456,rr,ds002338,sub-xp207,8,union,sig,5.123504437067942,0.43173574461706304
455,rs,ds002338,sub-xp201,6,union,sig,4.757065245700533,0.1381251780296148
454,rr.rs,ds001771,sub-36,12,union,sig,7.702755491626323,1.4188981497947024
453,rr,ds001748,sub-adult15,11,union,std,0.001762020867317915,0.002039352897554636
452,rs,ds001771,sub-36,10,union,std,0.00229128310456872,0.0018642208306118846
451,rr.rs,ds001600,sub-1,10,union,sig,7.178990739705492,1.471099267462083
450,rr,ds000256,sub-CTS201,0,union,std,0.017032690346240997,0.0053781564347445965
449,rr,ds001771,sub-36,18,union,mean,0.7493553757667542,0.14715954661369324
448,rr.rs,ds001748,sub-adult15,20,union,std,0.0020644590258598328,0.001494621392339468
447,rs,ds000256,sub-CTS210,17,union,std,0.006904630921781063,0.0061597032472491264
446,rr.rs,ds001771,sub-36,7,union,mean,0.6987251043319702,0.14788472652435303
445,rr.rs,ds000256,sub-CTS201,5,union,mean,0.6652963161468506,0.14741921424865723
444,rr.rs,ds001600,sub-1,18,union,sig,7.400239305246899,1.2506936832997861
443,rs,ds001771,sub-36,18,union,std,0.0023117363452911377,0.0015012862859293818
442,rr,ds001748,sub-adult15,19,union,std,0.0021043813321739435,0.0016883861972019076
441,rr,ds001771,sub-36,17,union,mean,0.7498919367790222,0.1466997116804123
440,rr,ds002338,sub-xp207,0,union,sig,3.757556641808418,0.7295128652299941
439,rr.rs,ds001771,sub-36,8,union,mean,0.7246766686439514,0.15182094275951385
438,rs,ds001600,sub-1,5,union,mean,0.6985772848129272,0.15482571721076965
437,rs,ds002338,sub-xp201,13,union,mean,0.6009889245033264,0.11029712855815887
436,rr,ds002338,sub-xp207,4,union,sig,3.722335482623759,0.35213079643085016
435,rr.rs,ds001748,sub-adult16,5,union,mean,0.6501392722129822,0.17779140174388885
434,rr,ds000256,sub-CTS201,4,union,std,0.03668069466948509,0.007586824707686901
433,rs,ds000256,sub-CTS210,13,union,std,0.008067063055932522,0.006918506231158972
432,rs,ds002338,sub-xp201,18,union,sig,6.469065563537386,0.39708554494765924
431,rs,ds001748,sub-adult15,5,union,std,0.0024883293081074953,0.0030142737086862326
430,rr,ds002338,sub-xp201,2,union,sig,4.6505019576883155,0.3954385241052607
429,rr,ds001748,sub-adult15,17,union,mean,0.5950725078582764,0.16969729959964752
428,rr.rs,ds002338,sub-xp201,19,union,sig,4.809089375844805,0.8337967764413448
427,rr,ds002338,sub-xp201,15,union,mean,0.6286293864250183,0.11823920905590057
426,rs,ds001771,sub-36,2,union,std,0.002699083648622036,0.003545230720192194
425,rr,ds001748,sub-adult16,20,union,mean,0.6369291543960571,0.15718413889408112
424,rr.rs,ds001748,sub-adult15,3,union,mean,0.6100939512252808,0.186853289604187
423,rr,ds000256,sub-CTS201,10,union,sig,6.246075742526216,0.5054143153879462
422,rs,ds002338,sub-xp207,18,union,std,0.0032329652458429337,0.0014675703132525086
421,rr.rs,ds001748,sub-adult16,15,union,sig,6.798351083615951,1.3438243776645316
420,rr,ds000256,sub-CTS210,3,union,sig,3.553919910190438,0.5615574512044139
419,rs,ds001600,sub-1,15,union,sig,7.958481881508773,1.5359532252680295
418,rr,ds001748,sub-adult15,18,union,mean,0.5965291261672974,0.16739459335803986
417,rr.rs,ds002338,sub-xp207,19,union,std,0.003052064450457692,0.0012079086154699326
416,rr.rs,ds000256,sub-CTS201,11,union,sig,7.905748075789491,1.6495074512979806
415,rr,ds000256,sub-CTS210,7,union,sig,4.7055939655929695,0.8975782559887431
414,rr.rs,ds001748,sub-adult16,11,union,sig,7.591888021688013,1.6154832428332444
413,rr,ds000256,sub-CTS201,14,union,sig,8.05025207410224,1.5380444200836683
412,rr.rs,ds000256,sub-CTS201,15,union,sig,7.75268987360071,1.5567270222932623
411,rs,ds001771,sub-36,11,union,mean,0.7474838495254517,0.15023113787174225
410,rs,ds001600,sub-1,11,union,sig,7.509609905431446,1.4079203618503038
409,rs,ds002338,sub-xp207,8,union,sig,5.287198654493382,0.5156796062702369
408,rr,ds002338,sub-xp201,6,union,sig,4.811751880301657,0.16866481370634834
407,rs,ds001748,sub-adult15,1,union,std,0.009488129988312721,0.006013382226228714
406,rr.rs,ds002338,sub-xp207,15,union,mean,0.5209848284721375,0.08421659469604492
405,rs,ds001748,sub-adult16,10,union,mean,0.6150239706039429,0.1865299940109253
404,rs,ds001771,sub-36,6,union,std,0.0031669256277382374,0.0023925562854856253
403,rs,ds001748,sub-adult16,18,union,sig,6.429116799521889,1.2536480733346458
402,rr.rs,ds002338,sub-xp207,15,union,std,0.0036809316370636225,0.001561339246109128
401,rr,ds000256,sub-CTS210,11,union,mean,0.7222869396209717,0.11464647948741913
400,rs,ds001748,sub-adult16,2,union,std,0.004066514782607555,0.0023881406523287296
399,rs,ds001600,sub-1,19,union,sig,7.637948874628137,1.210905113499135
398,rs,ds002338,sub-xp207,14,union,std,0.003999908920377493,0.0019530791323632002
397,rs,ds000256,sub-CTS210,12,union,mean,0.7419162392616272,0.11520544439554214
396,rr.rs,ds001748,sub-adult16,19,union,sig,6.928186157482208,1.2821941268064359
395,rr.rs,ds002338,sub-xp201,15,union,sig,3.803237701789924,0.7259705528684676
394,rs,ds001748,sub-adult16,10,union,sig,6.983408983191962,1.4993881515802525
393,rs,ds001748,sub-adult15,9,union,std,0.0016415113350376487,0.0019455943256616592
392,rs,ds002338,sub-xp201,14,union,sig,6.36504657977153,0.39069628644809834
391,rs,ds002338,sub-xp207,0,union,sig,3.7667509928973164,0.7470977483002645
390,rr,ds001748,sub-adult16,20,union,sig,6.905625000785578,1.2300561441413702
389,rr.rs,ds001771,sub-36,20,union,mean,0.7473421692848206,0.1506948471069336
388,rr.rs,ds001748,sub-adult15,12,union,mean,0.6127245426177979,0.17601074278354645
387,rr,ds000256,sub-CTS201,17,union,mean,0.6810113191604614,0.16037790477275848
386,rs,ds001748,sub-adult16,14,union,sig,6.1954437597031315,1.3317315926085516
385,rr.rs,ds002338,sub-xp201,11,union,sig,3.34576474314941,0.6757376426130018
384,rs,ds001600,sub-1,20,union,mean,0.7009099125862122,0.1432281881570816
383,rs,ds000256,sub-CTS201,14,union,mean,0.6902604699134827,0.15318548679351807
382,rs,ds002338,sub-xp207,4,union,sig,3.972182446587013,0.446387471265833
381,rs,ds001771,sub-36,0,union,mean,0.5223222374916077,0.09840616583824158
380,rs,ds002338,sub-xp201,10,union,sig,6.004552343927227,0.27080279523573497
379,rr.rs,ds000256,sub-CTS201,19,union,sig,7.763994563423201,1.6295369690346075
378,rs,ds001748,sub-adult16,6,union,std,0.0015825522132217884,0.001704065129160881
377,rr.rs,ds002338,sub-xp207,11,union,std,0.004498533438891172,0.002533470746129751
376,rr,ds000256,sub-CTS201,18,union,mean,0.6773973107337952,0.1642816960811615
375,rs,ds002338,sub-xp207,10,union,std,0.004840085748583078,0.003231822047382593
374,rr,ds000256,sub-CTS201,18,union,sig,8.214325168650976,1.6106971531883336
373,rr,ds000256,sub-CTS210,4,union,mean,0.5974303483963013,0.109337218105793
372,rr.rs,ds000256,sub-CTS210,16,union,std,0.0036209053359925747,0.0033347608987241983
371,rs,ds001771,sub-36,17,union,mean,0.753907322883606,0.144288569688797
370,rs,ds001748,sub-adult16,19,union,mean,0.6317856311798096,0.1593555510044098
369,rr,ds001748,sub-adult16,19,union,std,0.0024622592609375715,0.0012121195904910564
368,rr,ds000256,sub-CTS210,17,union,std,0.0052649653516709805,0.004728076979517937
367,rs,ds001748,sub-adult16,16,union,mean,0.6261682510375977,0.16416773200035095
366,rs,ds001771,sub-36,18,union,mean,0.7526440620422363,0.14516885578632355
365,rs,ds001600,sub-1,20,union,std,0.0017054297495633364,0.0014614640967920423
364,rr.rs,ds002338,sub-xp207,0,union,sig,2.9822010418490614,0.4540351434603822
363,rr.rs,ds002338,sub-xp207,13,union,mean,0.5050458908081055,0.08548302948474884
362,rr.rs,ds001748,sub-adult16,20,union,std,0.002275137696415186,0.001342626055702567
361,rr,ds001748,sub-adult15,11,union,mean,0.6101797819137573,0.18224672973155975
360,rr,ds002338,sub-xp201,13,union,mean,0.6159372329711914,0.11373408883810043
359,rr.rs,ds000256,sub-CTS201,20,union,std,0.0016735594253987074,0.0015194370644167066
358,rr,ds001600,sub-1,18,union,sig,7.616040509102715,1.124913919088496
