,prefix,subject,fwh,mask,stat,mean,std
1337,rs,sub-xp207,8,union,std,1.5439517498016357,2.9590184688568115
1336,rr.rs,sub-1,1,union,sig,6.13331486484837,1.2809761220598164
1335,rr.rs,sub-adult15,18,union,sig,8.346480084534951,0.7021422649883198
1334,rr,sub-xp201,12,union,mean,626.5234375,70.2693862915039
1333,rs,sub-36,20,union,std,0.37991660833358765,0.2018745243549347
1332,rr.rs,sub-1,5,union,sig,6.894971636546584,0.8244900146939816
1331,rr.rs,sub-xp207,9,union,sig,8.263510851632063,1.0782640229344154
1330,rr,sub-36,14,union,mean,397.2662353515625,38.983585357666016
1329,rr,sub-xp201,2,union,std,3.0233168601989746,4.681136131286621
1328,rs,sub-adult16,20,union,std,6.1163506507873535,5.627890110015869
1327,rr.rs,sub-CTS201,4,union,mean,395.6935729980469,63.72953796386719
1326,rr.rs,sub-CTS210,18,union,sig,7.996502499865184,1.2506187095841519
1325,rr,sub-36,2,union,mean,413.7494812011719,70.5134506225586
1324,rr,sub-adult16,10,union,std,7.7645039558410645,6.605264186859131
1323,rs,sub-CTS201,19,union,sig,8.761187525160885,0.6945373199341054
1322,rs,sub-1,14,union,mean,672.2390747070312,71.0793228149414
1321,rr,sub-CTS210,4,union,std,1.197622537612915,1.354304313659668
1320,rr.rs,sub-1,16,union,mean,668.7553100585938,67.46946716308594
1319,rs,sub-adult16,16,union,std,6.469436168670654,6.356019496917725
1318,rr,sub-adult16,7,union,std,9.627731323242188,9.743905067443848
1317,rs,sub-36,16,union,std,0.41588887572288513,0.26801395416259766
1316,rr,sub-1,3,union,std,3.266174554824829,5.128190994262695
1315,rr,sub-xp201,3,union,mean,643.965087890625,108.13555908203125
1314,rr.rs,sub-1,19,union,mean,664.5181884765625,64.36904907226562
1313,rs,sub-xp201,2,union,mean,645.8403930664062,117.75202941894531
1312,rr.rs,sub-xp201,8,union,mean,632.96875,80.06820678710938
1311,rr,sub-1,7,union,std,1.4576936960220337,1.8607720136642456
1310,rr,sub-adult15,8,union,std,11.072745323181152,10.049160957336426
